Method,Perplexity,Effective density,Density
Dense,5.54,1,1
Wanda 2:4,23.58,0.5625,0.5
Wanda unstructured,25.21,0.476,0.38
Wanda unstructured,21.09,0.488,0.39
Wanda unstructured,18.5,0.501,0.4
Wanda unstructured,16.59,0.513,0.41
Wanda unstructured,14.65,0.526,0.42
Wanda unstructured,13.21,0.538,0.43
Wanda unstructured,12.21,0.551,0.44
Wanda unstructured,11.28,0.563,0.45
Wanda unstructured,10.54,0.576,0.46
Wanda unstructured,9.91,0.588,0.47
Wanda unstructured,9.37,0.601,0.48
Wanda unstructured,8.99,0.613,0.49
Wanda unstructured,8.626,0.625,0.5
